year,team
1955,PIT
1955,RAM
1955,SFO
1955,WAS
1956,BAL
1956,CHI
1956,CLE
1956,CRD
1956,DET
1956,GNB
1956,NYG
1956,PHI
1956,PIT
1956,RAM
1956,SFO
1956,WAS
1957,BAL
1957,CHI
1957,CLE
1957,CRD
1957,DET
1957,GNB
1957,NYG
1957,PHI
1957,PIT
1957,RAM
1957,SFO
1957,WAS
1958,BAL
1958,CHI
1958,CLE
1958,CRD
1958,DET
1958,GNB
1958,NYG
1958,PHI
1958,PIT
1958,RAM
1958,SFO
1958,WAS
1959,BAL
1959,CHI
1959,CLE
1959,CRD
1959,DET
1959,GNB
1959,NYG
1959,PHI
1959,PIT
1959,RAM
1959,SFO
1959,WAS
1960,BAL
1960,BOS
1960,BUF
1960,CHI
1960,CLE
1960,DAL
1960,DEN
1960,DET
1960,DTX
1960,GNB
1960,HOU
1960,LAC
1960,NYG
1960,NYT
1960,OAK
1960,PHI
1960,PIT
1960,RAM
1960,SFO
1960,STL
1960,WAS
1961,BAL
1961,BOS
1961,BUF
1961,CHI
1961,CLE
1961,DAL
1961,DEN
1961,DET
1961,DTX
1961,GNB
1961,HOU
1961,MIN
1961,NYG
1961,NYT
1961,OAK
1961,PHI
1961,PIT
1961,RAM
1961,SDG
1961,SFO
1961,STL
1961,WAS
1962,BAL
1962,BOS
1962,BUF
1962,CHI
1962,CLE
1962,DAL
1962,DEN
1962,DET
1962,DTX
1962,GNB
1962,HOU
1962,MIN
1962,NYG
1962,NYT
1962,OAK
1962,PHI
1962,PIT
1962,RAM
1962,SDG
1962,SFO
1962,STL
1962,WAS
1963,BAL
1963,BOS
1963,BUF
1963,CHI
1963,CLE
1963,DAL
1963,DEN
1963,DET
1963,GNB
1963,HOU
1963,KAN
1963,MIN
1963,NYG
1963,NYJ
1963,OAK
1963,PHI
1963,PIT
1963,RAM
1963,SDG
1963,SFO
1963,STL
1963,WAS
1964,BAL
1964,BOS
1964,BUF
1964,CHI
1964,CLE
1964,DAL
1964,DEN
1964,DET
1964,GNB
1964,HOU
1964,KAN
1964,MIN
1964,NYG
1964,NYJ
1964,OAK
1964,PHI
1964,PIT
1964,RAM
1964,SDG
1964,SFO
1964,STL
1964,WAS
1965,BAL
1965,BOS
1965,BUF
1965,CHI
1965,CLE
1965,DAL
1965,DEN
1965,DET
1965,GNB
1965,HOU
1965,KAN
1965,MIN
1965,NYG
1965,NYJ
1965,OAK
1965,PHI
1965,PIT
1965,RAM
1965,SDG
1965,SFO
1965,STL
1965,WAS
1966,ATL
1966,BAL
1966,BOS
1966,BUF
1966,CHI
1966,CLE
1966,DAL
1966,DEN
1966,DET
1966,GNB
1966,HOU
1966,KAN
1966,MIA
1966,MIN
1966,NYG
1966,NYJ
1966,OAK
1966,PHI
1966,PIT
1966,RAM
1966,SDG
1966,SFO
1966,STL
1966,WAS
1967,ATL
1967,BAL
1967,BOS
1967,BUF
1967,CHI
1967,CLE
1967,DAL
1967,DEN
1967,DET
1967,GNB
1967,HOU
1967,KAN
1967,MIA
1967,MIN
1967,NOR
1967,NYG
1967,NYJ
1967,OAK
1967,PHI
1967,PIT
1967,RAM
1967,SDG
1967,SFO
1967,STL
1967,WAS
1968,ATL
1968,BAL
1968,BOS
1968,BUF
1968,CHI
1968,CIN
1968,CLE
1968,DAL
1968,DEN
1968,DET
1968,GNB
1968,HOU
1968,KAN
1968,MIA
1968,MIN
1968,NOR
1968,NYG
1968,NYJ
1968,OAK
1968,PHI
1968,PIT
1968,RAM
1968,SDG
1968,SFO
1968,STL
1968,WAS
1969,ATL
1969,BAL
1969,BOS
1969,BUF
1969,CHI
1969,CIN
1969,CLE
1969,DAL
1969,DEN
1969,DET
1969,GNB
1969,HOU
1969,KAN
1969,MIA
1969,MIN
1969,NOR
1969,NYG
1969,NYJ
1969,OAK
1969,PHI
1969,PIT
1969,RAM
1969,SDG
1969,SFO
1969,STL
1969,WAS
1970,ATL
1970,BAL
1970,BOS
1970,BUF
1970,CHI
1970,CIN
1970,CLE
1970,DAL
1970,DEN
1970,DET
1970,GNB
1970,HOU
1970,KAN
1970,MIA
1970,MIN
1970,NOR
1970,NYG
1970,NYJ
1970,OAK
1970,PHI
1970,PIT
1970,RAM
1970,SDG
1970,SFO
1970,STL
1970,WAS
1971,ATL
1971,BAL
1971,BUF
1971,CHI
1971,CIN
1971,CLE
1971,DAL
1971,DEN
1971,DET
1971,GNB
1971,HOU
1971,KAN
1971,MIA
1971,MIN
1971,NOR
1971,NWE
1971,NYG
1971,NYJ
1971,OAK
1971,PHI
1971,PIT
1971,RAM
1971,SDG
1971,SFO
1971,STL
1971,WAS
1972,ATL
1972,BAL
1972,BUF
1972,CHI
1972,CIN
1972,CLE
1972,DAL
1972,DEN
1972,DET
1972,GNB
1972,HOU
1972,KAN
1972,MIA
1972,MIN
1972,NOR
1972,NWE
1972,NYG
1972,NYJ
1972,OAK
1972,PHI
1972,PIT
1972,RAM
1972,SDG
1972,SFO
1972,STL
1972,WAS
1973,ATL
1973,BAL
1973,BUF
1973,CHI
1973,CIN
1973,CLE
1973,DAL
1973,DEN
1973,DET
1973,GNB
1973,HOU
1973,KAN
1973,MIA
1973,MIN
1973,NOR
1973,NWE
1973,NYG
1973,NYJ
1973,OAK
1973,PHI
1973,PIT
1973,RAM
1973,SDG
1973,SFO
1973,STL
1973,WAS
1974,ATL
1974,BAL
1974,BUF
1974,CHI
1974,CIN
1974,CLE
1974,DAL
1974,DEN
1974,DET
1974,GNB
1974,HOU
1974,KAN
1974,MIA
1974,MIN
1974,NOR
1974,NWE
1974,NYG
1974,NYJ
1974,OAK
1974,PHI
1974,PIT
1974,RAM
1974,SDG
1974,SFO
1974,STL
1974,WAS
1975,ATL
1975,BAL
1975,BUF
1975,CHI
1975,CIN
1975,CLE
1975,DAL
1975,DEN
1975,DET
1975,GNB
1975,HOU
1975,KAN
1975,MIA
1975,MIN
1975,NOR
1975,NWE
1975,NYG
1975,NYJ
1975,OAK
1975,PHI
1975,PIT
1975,RAM
1975,SDG
1975,SFO
1975,STL
1975,WAS
1976,ATL
1976,BAL
1976,BUF
1976,CHI
1976,CIN
1976,CLE
1976,DAL
1976,DEN
1976,DET
1976,GNB
1976,HOU
1976,KAN
1976,MIA
1976,MIN
1976,NOR
1976,NWE
1976,NYG
1976,NYJ
1976,OAK
1976,PHI
1976,PIT
1976,RAM
1976,SDG
1976,SEA
1976,SFO
1976,STL
1976,TAM
1976,WAS
1977,ATL
1977,BAL
1977,BUF
1977,CHI
1977,CIN
1977,CLE
1977,DAL
1977,DEN
1977,DET
1977,GNB
1977,HOU
1977,KAN
1977,MIA
1977,MIN
1977,NOR
1977,NWE
1977,NYG
1977,NYJ
1977,OAK
1977,PHI
1977,PIT
1977,RAM
1977,SDG
1977,SEA
1977,SFO
1977,STL
1977,TAM
1977,WAS
1978,ATL
1978,BAL
1978,BUF
1978,CHI
1978,CIN
1978,CLE
1978,DAL
1978,DEN
1978,DET
1978,GNB
1978,HOU
1978,KAN
1978,MIA
1978,MIN
1978,NOR
1978,NWE
1978,NYG
1978,NYJ
1978,OAK
1978,PHI
1978,PIT
1978,RAM
1978,SDG
1978,SEA
1978,SFO
1978,STL
1978,TAM
1978,WAS
1979,ATL
1979,BAL
1979,BUF
1979,CHI
1979,CIN
1979,CLE
1979,DAL
1979,DEN
1979,DET
1979,GNB
1979,HOU
1979,KAN
1979,MIA
